"time1_size_e2_fn","rec_serv_e2_fn","env_car_e2_fn","time2_delay_e2_fn","delay_rtt_e2_fn","ncars_e2_fn"
1,497336,982688,1,2.505,2
2,497336,988680,2,0.1415,2
3,988680,994672,3,2.545,2
4,988680,994672,4,0.5885,2
5,994672,988680,5,0.828,2
6,988680,988680,6,0.6945,2
7,988680,994672,7,0.7505,2
8,994672,994672,8,1.8115,2
9,982688,988680,9,1.615,2
10,994672,988680,10,0.3105,2
11,994672,994672,11,1.1585,2
12,994672,994672,12,2.37,2
13,421836.8,987481.6,13,0.804,5
14,517708.8,989878.4,14,20.288,5
15,520105.6,987481.6,15,109.6,5
16,517708.8,982688,16,118.2,5
17,520105.6,987481.6,17,190.4,5
18,517708.8,987481.6,18,935.2,5
19,520105.6,985084.8,19,667,5
20,508121.6,989878.4,20,1160.6,5
21,488947.2,989878.4,21,452.8,5
22,560851.2,989878.4,23,916.4,5
23,546470.4,987481.6,24,458.2,5
24,496137.6,992275.2,25,1371,5
25,580025.6,987481.6,26,908.8,5
26,522502.4,992275.2,27,1354.2,5
27,565644.8,982688,28,902.6,5
28,632755.2,989878.4,29,452.4,5
29,620771.2,982688,30,452,5
30,596803.2,989878.4,31,452.8,5
31,493740.8,985084.8,32,1805.8,5
32,424233.6,989878.4,33,1350,5
33,512915.2,987481.6,34,449.4,5
34,498534.4,992275.2,35,450.8,5
35,491344,985084.8,36,1357.6,5
36,476963.2,989878.4,37,451.8,5
37,524899.2,989878.4,38,1356.2,5
38,577628.8,989878.4,39,910,5
39,565644.8,992275.2,40,913,5
40,584819.2,982688,41,1369.4,5
41,529692.8,994672,42,457.4,5
42,592009.6,987481.6,43,910,5
43,589612.8,987481.6,44,1360.2,5
44,486550.4,987481.6,46,453.6,5
45,541676.8,987481.6,47,1818,5
46,548867.2,985084.8,48,453.6,5
47,462582.4,992275.2,49,451.6,5
48,469772.8,985084.8,50,905,5
49,527296,987481.6,51,911.4,5
50,498534.4,982688,52,456,5
51,503328,987481.6,53,454.4,5
52,594406.4,985084.8,54,1366.2,5
53,546470.4,989878.4,55,1363.2,5
54,493740.8,989878.4,56,453.8,5
55,532089.6,977894.4,57,1364,5
56,568041.6,992275.2,58,452.8,5
57,474566.4,987481.6,59,908,5
58,546470.4,977894.4,60,905.2,5
59,503328,985084.8,61,453.6,5
60,536883.2,985084.8,62,456.4,5
61,481756.8,980291.2,63,455.2,5
62,407456,989878.4,64,907.6,5
63,431424,992275.2,65,1357,5
64,472169.6,985084.8,66,899.6,5
65,469772.8,987481.6,67,1352.4,5
66,553660.8,987481.6,69,908.4,5
67,551264,982688,70,1357.4,5
68,560851.2,987481.6,71,1353.8,5
69,529692.8,987481.6,72,905,5
70,474566.4,982688,74,1370,5
71,551264,987481.6,75,455.6,5
72,546470.4,989878.4,76,1361.6,5
73,498534.4,989878.4,77,1813.2,5
74,580025.6,987481.6,78,901.8,5
75,467376,989878.4,79,1356.6,5
76,570438.4,985084.8,81,1364.4,5
77,556057.6,989878.4,82,1367.6,5
78,584819.2,982688,83,907.6,5
79,445804.8,985084.8,84,1358.8,5
80,464979.2,985084.8,85,1363.6,5
