"time1_size_e2_fq","rec_serv_e2_fq","env_car_e2_fq","time2_delay_e2_fq","delay_rtt_e2_fq","ncars_e2_fq"
1,994672,994672,1,3.47,1
2,994672,994672,2,0.33,1
3,994672,994672,3,4.62,1
4,994672,994672,4,0.749,1
5,994672,994672,5,0.464,1
6,982688,982688,6,1.09,1
7,994672,994672,7,0.995,1
8,994672,994672,8,0.332,1
9,994672,994672,9,0.481,1
10,994672,994672,10,0.357,1
11,994672,994672,11,3.16,1
12,994672,994672,12,0.33,1
13,242076.8,968307.2,13,0.1648,5
14,443408,987481.6,14,0.7976,5
15,596803.2,992275.2,15,4.1038,5
16,625564.8,982688,16,32.948,5
17,625564.8,989878.4,17,266.6,5
18,620771.2,992275.2,18,95.8,5
19,627961.6,992275.2,19,877.8,5
20,618374.4,982688,20,1128.6,5
21,627961.6,989878.4,21,333.6,5
22,623168,987481.6,22,1601.4,5
23,625564.8,989878.4,23,968.2,5
24,620771.2,992275.2,24,2125.8,5
25,627961.6,989878.4,25,2536.8,5
26,620771.2,989878.4,26,686.6,5
27,632755.2,989878.4,27,3019.6,5
28,620771.2,987481.6,28,760.2,5
29,625564.8,985084.8,30,1524,5
30,623168,989878.4,31,1528.8,5
31,625564.8,994672,32,2291.2,5
32,620771.2,985084.8,33,762.2,5
33,627961.6,989878.4,34,1524.4,5
34,620771.2,987481.6,35,763,5
35,625564.8,985084.8,36,3814.4,5
36,627961.6,987481.6,37,1522,5
37,618374.4,992275.2,38,2282.6,5
38,627961.6,987481.6,39,3036,5
39,620771.2,987481.6,40,761,5
40,627961.6,989878.4,41,3039.8,5
41,618374.4,985084.8,42,1519.6,5
42,630358.4,992275.2,43,3799.4,5
43,618374.4,980291.2,44,3786.4,5
44,625564.8,989878.4,45,3025.8,5
45,623168,985084.8,46,3022.6,5
46,627961.6,989878.4,47,3024.8,5
47,620771.2,987481.6,48,1513.8,5
48,627961.6,989878.4,49,2277.8,5
49,623168,985084.8,50,1518.4,5
50,623168,985084.8,51,2284.4,5
51,623168,987481.6,52,3042,5
52,623168,989878.4,53,2277,5
53,627961.6,977894.4,54,3035.4,5
54,620771.2,987481.6,55,1519.4,5
55,627961.6,987481.6,56,2277,5
56,620771.2,987481.6,57,1519.4,5
57,627961.6,985084.8,58,761.6,5
58,618374.4,989878.4,59,1523.8,5
59,632755.2,985084.8,60,3047.2,5
60,618374.4,994672,61,1522.2,5
61,630358.4,977894.4,62,1520,5
62,618374.4,987481.6,63,1522.2,5
63,627961.6,977894.4,64,2284.6,5
64,623168,992275.2,65,761.4,5
65,627961.6,987481.6,66,1525,5
66,618374.4,989878.4,67,1526.4,5
67,627961.6,982688,68,764.8,5
68,625564.8,987481.6,69,764,5
69,620771.2,982688,70,764,5
70,615977.6,985084.8,71,1530.4,5
71,623168,982688,72,766.2,5
72,627961.6,985084.8,73,1527.2,5
73,620771.2,987481.6,74,2287,5
74,627961.6,982688,75,762.6,5
75,618374.4,992275.2,76,2287,5
76,635152,987481.6,77,3042.2,5
77,615977.6,982688,78,2276.4,5
78,630358.4,985084.8,79,2278.2,5
79,618374.4,987481.6,80,2277.6,5
80,630358.4,989878.4,81,761.4,5
81,620771.2,985084.8,82,2280.6,5
82,625564.8,985084.8,83,2283.8,5
83,625564.8,987481.6,84,2281.6,5
84,623168,985084.8,85,2278.2,5
85,623168,992275.2,86,761.6,5
86,623168,980291.2,87,1524.4,5
87,632755.2,989878.4,89,3054.2,5
88,615977.6,994672,90,3045,5
89,627961.6,982688,91,3802.4,5
90,620771.2,980291.2,92,3780,5
91,627961.6,989878.4,93,1517.4,5
92,615977.6,982688,94,3030.6,5
93,630358.4,985084.8,95,760,5
94,623168,982688,96,1523.8,5
95,627961.6,994672,97,1523,5
96,620771.2,987481.6,98,1522.2,5
97,627961.6,987481.6,99,1523.8,5
98,623168,987481.6,100,1520.8,5
99,625564.8,989878.4,101,2290.2,5
100,625564.8,987481.6,102,3045.4,5
101,620771.2,985084.8,103,2279.4,5
102,625564.8,987481.6,104,2276.4,5
103,620771.2,987481.6,105,1516.2,5
104,632755.2,989878.4,106,1519.6,5
105,615977.6,987481.6,107,3040,5
106,630358.4,989878.4,108,1521,5
107,618374.4,989878.4,109,762.2,5
108,630358.4,987481.6,110,3801.4,5
109,618374.4,992275.2,111,1515.4,5
110,630358.4,985084.8,112,1520.2,5
111,620771.2,987481.6,113,3035.6,5
112,627961.6,985084.8,114,2281.6,5
113,620771.2,992275.2,115,2279.6,5
114,625564.8,985084.8,116,2276,5
115,625564.8,985084.8,117,1519.8,5
116,620771.2,989878.4,118,3036.4,5
117,625564.8,982688,119,1521,5
118,618374.4,987481.6,120,760.8,5
119,627961.6,987481.6,121,3039.4,5
120,620771.2,987481.6,122,760.6,5
121,627961.6,987481.6,123,2284.2,5
