"time1_size_e2_fs","rec_serv_e2_fs","env_car_e2_fs","time2_delay_e2_fs","delay_rtt_e2_fs","ncars_e2_fs"
1,1018640,994672,1,6.12,1
2,994672,994672,2,0.389,1
3,994672,994672,3,0.367,1
4,994672,994672,5,1.06,1
5,994672,994672,6,1.53,1
6,982688,982688,7,0.283,1
7,994672,994672,8,0.302,1
8,994672,994672,9,1.14,1
9,994672,994672,10,0.855,1
10,994672,982688,11,0.343,1
11,982688,982688,12,1,1
12,982688,1018640,13,0.405,1
13,244473.6,985084.8,14,0.9254,5
14,443408,989878.4,15,2.638,5
15,539280,989878.4,16,10.79,5
16,615977.6,982688,17,39,5
17,625564.8,989878.4,18,403.2,5
18,620771.2,989878.4,19,744.8,5
19,627961.6,985084.8,20,230.4,5
20,623168,982688,21,1561,5
21,623168,987481.6,22,1684.6,5
22,623168,987481.6,23,464.4,5
23,625564.8,992275.2,24,2139.8,5
24,625564.8,989878.4,25,580.6,5
25,620771.2,985084.8,26,3316,5
26,625564.8,992275.2,27,2278.8,5
27,623168,989878.4,28,1520.2,5
28,630358.4,985084.8,29,2277,5
29,615977.6,989878.4,30,1521.8,5
30,632755.2,987481.6,31,1523,5
31,620771.2,989878.4,32,2279,5
32,627961.6,985084.8,33,3043.6,5
33,618374.4,989878.4,34,2281.6,5
34,642342.4,989878.4,35,760.4,5
35,889212.8,985084.8,36,761.108,5
36,1164844.8,989878.4,37,763.8726,5
37,1212780.8,982688,38,763.9096,5
38,1219971.2,989878.4,39,2296.1324,5
39,1212780.8,980291.2,40,2279.7152,5
40,1212780.8,980291.2,41,1415.5008,5
41,1215177.6,997068.8,42,2384.9642,5
42,1210384,992275.2,43,1382.538,5
43,1224764.8,980291.2,44,1085.1972,5
44,1212780.8,992275.2,45,909.2886,5
45,1224764.8,985084.8,46,240.0906,5
46,1090544,987481.6,47,91.3368,5
47,994672,977894.4,48,5.1526,5
48,977894.4,985084.8,49,5.7632,5
49,987481.6,985084.8,50,4.571,5
50,977894.4,989878.4,51,4.1394,5
51,989878.4,987481.6,52,4.2186,5
52,992275.2,992275.2,53,3.4862,5
53,965910.4,987481.6,54,5.6204,5
54,992275.2,994672,55,3.9252,5
55,987481.6,987481.6,56,4.1628,5
56,987481.6,987481.6,57,4.7542,5
57,989878.4,987481.6,58,4.643,5
58,992275.2,985084.8,59,3.3362,5
59,987481.6,989878.4,60,1.9734,5
60,989878.4,987481.6,61,3.868,5
61,992275.2,989878.4,62,2.3104,5
62,980291.2,989878.4,63,7.9476,5
63,985084.8,985084.8,64,2.4892,5
64,987481.6,987481.6,65,6.0628,5
65,992275.2,987481.6,66,5.534,5
66,985084.8,985084.8,67,3.6774,5
67,982688,989878.4,68,3.386,5
68,992275.2,987481.6,69,7.7898,5
69,989878.4,985084.8,70,4.2088,5
70,985084.8,985084.8,71,3.21,5
71,989878.4,989878.4,72,4.1486,5
72,989878.4,985084.8,73,8.1854,5
73,963513.6,982688,74,4.934,5
74,987481.6,989878.4,75,2.0502,5
75,985084.8,980291.2,76,3.3496,5
76,989878.4,989878.4,77,2.9336,5
77,985084.8,982688,78,13.798,5
78,987481.6,994672,79,5.31,5
79,985084.8,980291.2,80,3.8194,5
80,987481.6,985084.8,81,7.034,5
81,982688,987481.6,82,2.4718,5
