"time1_size_e_fn","rec_serv_e_fn","env_car_e_fn","time2_delay_e_fn","delay_rtt_e_fn","ncars_e_fn"
1,251664,503328,1,2.095,2
2,251664,497336,2,0.1515,2
3,497336,503328,3,2.608,2
4,497336,491344,4,0.9185,2
5,491344,497336,5,1.6535,2
6,503328,497336,6,0.558,2
7,491344,491344,7,0.5145,2
8,503328,503328,8,2.835,2
9,491344,491344,9,1.108,2
10,497336,503328,10,0.498,2
11,497336,497336,11,1.064,2
12,497336,515312,12,2.003,2
13,218108.8,493740.8,13,0.1848,5
14,258854.4,500931.2,14,21.904,5
15,258854.4,493740.8,15,109.8,5
16,263648,496137.6,16,118,5
17,258854.4,498534.4,17,195.4,5
18,258854.4,493740.8,18,941,5
19,261251.2,498534.4,19,666,5
20,313980.8,496137.6,20,1167.4,5
21,342742.4,496137.6,21,454,5
22,242076.8,493740.8,22,456.4,5
23,282822.4,498534.4,23,916.8,5
24,225299.2,491344,24,458,5
25,218108.8,500931.2,25,1371.2,5
26,242076.8,493740.8,26,911.4,5
27,148601.6,496137.6,27,904.8,5
28,160585.6,500931.2,28,904.2,5
29,155792,493740.8,29,453,5
30,282822.4,496137.6,30,904.8,5
31,290012.8,498534.4,31,2262.4,5
32,275632,496137.6,32,1350.4,5
33,206124.8,496137.6,33,448.6,5
34,251664,493740.8,34,449,5
35,266044.8,496137.6,35,904.2,5
36,290012.8,496137.6,36,453.8,5
37,196537.6,498534.4,37,1812.6,5
38,182156.8,496137.6,38,1357.8,5
39,230092.8,496137.6,40,912.2,5
40,182156.8,496137.6,41,456.6,5
41,230092.8,498534.4,43,1364.4,5
42,249267.2,493740.8,44,1359.2,5
43,215712,496137.6,45,1358.4,5
44,309187.2,498534.4,46,908.4,5
45,261251.2,493740.8,47,1364,5
46,227696,496137.6,48,1360,5
47,263648,496137.6,49,902.8,5
48,287616,491344,50,1354.2,5
49,285219.2,500931.2,52,909.4,5
50,266044.8,491344,53,909.4,5
51,249267.2,496137.6,54,1367.6,5
52,186950.4,496137.6,55,455,5
53,263648,493740.8,56,907.6,5
54,335552,498534.4,57,908,5
55,280425.6,496137.6,59,1360.6,5
56,270838.4,491344,60,1361.2,5
57,294806.4,496137.6,61,453,5
58,270838.4,496137.6,62,1364.4,5
59,304393.6,498534.4,63,1820.2,5
60,266044.8,493740.8,64,1360.6,5
61,270838.4,498534.4,65,1808,5
62,337948.8,496137.6,66,1800.8,5
63,301996.8,496137.6,67,1352.4,5
64,256457.6,496137.6,68,454,5
65,294806.4,488947.2,69,1820.2,5
66,261251.2,500931.2,70,1811.8,5
67,282822.4,491344,71,1353.6,5
68,256457.6,500931.2,72,452.4,5
