"time1_size_e_fq","rec_serv_e_fq","env_car_e_fq","time2_delay_e_fq","delay_rtt_e_fq","ncars_e_fq"
1,503328,503328,1,3.26,1
2,503328,503328,2,0.364,1
3,491344,491344,3,4.68,1
4,503328,503328,4,0.968,1
5,491344,491344,5,0.338,1
6,503328,503328,6,1.3,1
7,491344,491344,7,0.363,1
8,503328,503328,8,0.411,1
9,491344,491344,9,0.412,1
10,503328,503328,10,0.392,1
11,491344,491344,11,3.15,1
12,503328,503328,12,0.318,1
13,122236.8,484153.6,13,0.1824,5
14,222902.4,498534.4,14,0.8308,5
15,304393.6,496137.6,15,2.734,5
16,306790.4,498534.4,16,31.36,5
17,313980.8,496137.6,17,264.4,5
18,309187.2,498534.4,18,99.2,5
19,316377.6,493740.8,19,896.2,5
20,311584,493740.8,20,1151,5
21,311584,498534.4,21,342.2,5
22,311584,496137.6,22,1623.8,5
23,311584,498534.4,23,459.8,5
24,311584,496137.6,24,2687,5
25,311584,498534.4,25,2581,5
26,316377.6,493740.8,26,699,5
27,306790.4,496137.6,27,3874.8,5
28,313980.8,498534.4,28,3535.4,5
29,309187.2,493740.8,29,930.6,5
30,316377.6,500931.2,30,4000.6,5
31,304393.6,496137.6,31,1050.6,5
32,316377.6,498534.4,32,5659.4,5
33,309187.2,496137.6,33,4956.4,5
34,316377.6,498534.4,34,1291.6,5
35,309187.2,493740.8,35,6835,5
36,311584,493740.8,36,5906.4,5
37,311584,500931.2,37,4498.4,5
38,313980.8,493740.8,38,4499,5
39,309187.2,500931.2,39,1494.4,5
40,313980.8,491344,40,1503,5
41,313980.8,500931.2,41,3004,5
42,309187.2,493740.8,42,4514.8,5
43,316377.6,493740.8,43,3015.6,5
44,306790.4,498534.4,44,4516.2,5
45,316377.6,493740.8,45,4524.6,5
46,306790.4,496137.6,46,4525.2,5
47,316377.6,496137.6,47,3017.8,5
48,309187.2,496137.6,48,6028.2,5
49,313980.8,491344,49,3008.4,5
50,306790.4,500931.2,50,3010.2,5
51,316377.6,493740.8,51,3012.8,5
52,309187.2,498534.4,52,6025.8,5
53,313980.8,496137.6,53,6017.6,5
54,313980.8,496137.6,54,1503.6,5
55,311584,496137.6,55,4512.2,5
56,311584,496137.6,56,3013,5
57,311584,498534.4,57,1510.8,5
58,311584,493740.8,58,3022.8,5
59,311584,496137.6,59,3012.6,5
60,316377.6,491344,60,4533.4,5
61,306790.4,500931.2,61,6034.4,5
62,316377.6,493740.8,62,3012.8,5
63,306790.4,500931.2,63,4534.8,5
64,316377.6,491344,64,4526.2,5
65,306790.4,496137.6,65,4512.8,5
66,316377.6,493740.8,66,4507.4,5
67,309187.2,491344,67,4509.2,5
68,313980.8,498534.4,68,4508.4,5
69,309187.2,496137.6,69,1505.2,5
70,316377.6,498534.4,70,3007,5
