"time1_size_e_fs","rec_serv_e_fs","env_car_e_fs","time2_delay_e_fs","delay_rtt_e_fs","ncars_e_fs"
1,527296,503328,1,6.73,1
2,491344,503328,2,0.282,1
3,503328,491344,3,1.41,1
4,491344,503328,5,0.553,1
5,503328,491344,6,0.409,1
6,491344,503328,7,0.286,1
7,503328,491344,8,1.68,1
8,491344,491344,9,0.546,1
9,503328,503328,10,5.78,1
10,491344,503328,11,0.558,1
11,503328,491344,12,0.972,1
12,491344,527296,13,0.372,1
13,127030.4,491344,14,1.0032,5
14,218108.8,500931.2,15,2.77,5
15,266044.8,493740.8,16,8.052,5
16,311584,496137.6,17,42.6,5
17,316377.6,500931.2,18,434,5
18,306790.4,493740.8,19,783.8,5
19,316377.6,498534.4,20,238.8,5
20,306790.4,493740.8,21,1622.8,5
21,316377.6,500931.2,22,1729.6,5
22,306790.4,493740.8,23,481,5
23,318774.4,500931.2,24,2209.8,5
24,304393.6,493740.8,25,598.2,5
25,316377.6,500931.2,26,3412.2,5
26,306790.4,496137.6,27,3173.4,5
27,318774.4,498534.4,28,837,5
28,306790.4,493740.8,29,4594,5
29,313980.8,498534.4,30,4128.4,5
30,311584,496137.6,31,1075.4,5
31,313980.8,498534.4,32,4594.8,5
32,311584,496137.6,33,1191.4,5
33,309187.2,496137.6,34,6375.8,5
34,316377.6,493740.8,35,5549.4,5
35,309187.2,496137.6,36,1431,5
36,313980.8,496137.6,37,4504.8,5
37,306790.4,493740.8,38,4503.4,5
38,318774.4,496137.6,39,4503.4,5
39,306790.4,496137.6,40,4510.2,5
40,313980.8,498534.4,41,3008.6,5
41,309187.2,496137.6,42,3010.4,5
42,316377.6,498534.4,43,3012.8,5
43,306790.4,496137.6,44,4523.6,5
44,313980.8,498534.4,45,6020.6,5
45,311584,491344,46,1509.4,5
46,412249.6,500931.2,47,4504,5
47,493740.8,491344,48,7104.4,5
48,503328,496137.6,49,5056.8,5
49,493740.8,496137.6,50,4605.8,5
50,498534.4,493740.8,51,4088.2,5
51,498534.4,498534.4,52,3793.2,5
52,496137.6,496137.6,53,4706,5
53,496137.6,493740.8,54,3764.2,5
54,496137.6,500931.2,55,4710.6,5
55,496137.6,498534.4,56,4700.6,5
56,493740.8,491344,57,4703,5
57,496137.6,496137.6,58,4701.8,5
58,496137.6,498534.4,59,4704.6,5
59,496137.6,491344,60,4704.6,5
60,496137.6,503328,61,4701,5
61,498534.4,491344,62,4701,5
62,493740.8,496137.6,63,4704.6,5
63,496137.6,500931.2,64,4694.4,5
64,500931.2,493740.8,65,4697.2,5
65,493740.8,500931.2,66,4694.8,5
66,498534.4,491344,67,4696.8,5
67,498534.4,503328,68,4691,5
68,493740.8,491344,69,4691.2,5
69,496137.6,496137.6,70,4690.4,5
70,500931.2,496137.6,71,4686.2,5
71,493740.8,496137.6,72,4688.2,5
72,496137.6,493740.8,73,4690,5
73,493740.8,496137.6,74,4687.2,5
74,498534.4,496137.6,75,4686.2,5
75,498534.4,498534.4,76,4685.2,5
76,496137.6,496137.6,77,4680.4,5
77,493740.8,496137.6,78,4688.2,5
78,498534.4,498534.4,79,4684.6,5
79,500931.2,493740.8,80,4685.4,5
80,496137.6,493740.8,81,4678.4,5
81,496137.6,496137.6,82,4683.8,5
82,500931.2,493740.8,83,4669,5
83,493740.8,496137.6,84,4669.2,5
84,493740.8,498534.4,85,4663.4,5
85,496137.6,496137.6,86,4668.8,5
86,498534.4,493740.8,87,4662.6,5
87,498534.4,498534.4,88,4663.6,5
88,493740.8,496137.6,89,4662.4,5
89,500931.2,493740.8,90,5594.4,5
90,491344,498534.4,91,3733,5
