"time1_size_g_fn","rec_serv_g_fn","env_car_g_fn","time2_delay_g_fn","delay_rtt_g_fn","ncars_g_fn"
1,251664,503328,1,2.77,2
2,257656,503328,2,0.181,2
3,491344,491344,3,3.08,2
4,497336,497336,4,0.5565,2
5,503328,497336,5,0.9245,2
6,491344,497336,6,0.525,2
7,503328,497336,7,0.6345,2
8,491344,497336,8,2.21,2
9,497336,497336,9,0.65,2
10,497336,497336,10,0.7335,2
11,503328,491344,11,0.719,2
12,491344,503328,12,3.35,2
13,213315.2,498534.4,13,0.144,5
14,258854.4,498534.4,14,23.866,5
15,261251.2,496137.6,15,113.8,5
16,261251.2,496137.6,16,118,5
17,261251.2,493740.8,17,201.2,5
18,258854.4,498534.4,18,949.8,5
19,261251.2,498534.4,19,667.6,5
20,215712,493740.8,20,1177.4,5
21,210918.4,496137.6,21,453.2,5
22,232489.6,498534.4,22,457,5
23,213315.2,496137.6,25,913.8,5
24,316377.6,493740.8,26,910,5
25,242076.8,498534.4,27,903.6,5
26,273235.2,496137.6,28,902.2,5
27,323568,493740.8,29,451.6,5
28,242076.8,500931.2,30,452.6,5
29,263648,496137.6,31,1354.4,5
30,162982.4,498534.4,32,1355.2,5
31,261251.2,491344,33,1797,5
32,333155.2,498534.4,35,1354,5
33,318774.4,493740.8,36,452.6,5
34,285219.2,498534.4,37,1357,5
35,285219.2,496137.6,38,903.6,5
36,270838.4,496137.6,39,453.8,5
37,316377.6,496137.6,40,455.2,5
38,275632,491344,41,456.2,5
39,251664,498534.4,42,912,5
40,268441.6,493740.8,43,1363.8,5
41,280425.6,498534.4,45,904.2,5
42,198934.4,498534.4,46,453.2,5
43,232489.6,493740.8,47,1363.4,5
44,242076.8,496137.6,48,905.4,5
45,232489.6,493740.8,49,903.2,5
46,266044.8,498534.4,50,904.4,5
47,313980.8,493740.8,51,1362.4,5
48,282822.4,496137.6,52,908.6,5
49,227696,496137.6,53,1364.2,5
50,275632,491344,55,909,5
51,285219.2,491344,56,1817.8,5
52,254060.8,498534.4,57,1815.2,5
53,237283.2,493740.8,58,907.2,5
54,210918.4,496137.6,59,2267.8,5
55,225299.2,493740.8,60,1358.2,5
56,194140.8,498534.4,61,906.6,5
57,273235.2,493740.8,62,909.6,5
58,218108.8,491344,63,909,5
59,237283.2,498534.4,64,1362.4,5
60,232489.6,493740.8,65,2260.6,5
61,287616,500931.2,66,1800.2,5
62,301996.8,496137.6,67,450.4,5
63,297203.2,493740.8,68,1811.4,5
64,306790.4,496137.6,69,908.6,5
65,278028.8,498534.4,70,2263.4,5
66,222902.4,493740.8,71,901.6,5
67,203728,493740.8,72,1357,5
68,215712,500931.2,74,1367.2,5
69,285219.2,493740.8,75,911,5
70,280425.6,500931.2,76,1362,5
71,256457.6,491344,77,906.6,5
72,294806.4,498534.4,78,902.4,5
73,242076.8,496137.6,79,1357.4,5
74,198934.4,496137.6,81,910.2,5
75,290012.8,496137.6,82,907.4,5
76,242076.8,498534.4,83,453,5
77,237283.2,496137.6,84,906,5
78,206124.8,493740.8,86,2273.6,5
79,266044.8,498534.4,87,454.2,5
80,328361.6,496137.6,88,906.4,5
81,237283.2,493740.8,89,907.4,5
82,261251.2,500931.2,90,907.6,5
83,258854.4,491344,91,910.4,5
84,246870.4,496137.6,92,1365.8,5
85,292409.6,500931.2,93,1815.4,5
86,328361.6,491344,95,905.2,5
87,270838.4,500931.2,96,908.6,5
88,263648,493740.8,97,1809.6,5
89,321171.2,493740.8,99,908.2,5
90,249267.2,498534.4,101,455,5
91,258854.4,493740.8,102,1815.6,5
92,325964.8,498534.4,104,2260.6,5
93,306790.4,496137.6,105,453,5
94,237283.2,493740.8,106,452.8,5
95,201331.2,493740.8,107,456,5
96,206124.8,498534.4,108,1364.8,5
97,304393.6,493740.8,109,911.4,5
98,194140.8,496137.6,110,1365.4,5
99,282822.4,493740.8,111,456.8,5
100,306790.4,498534.4,112,1369,5
101,278028.8,496137.6,114,1363,5
102,282822.4,493740.8,115,456,5
103,299600,498534.4,116,907,5
104,323568,491344,117,1810,5
105,270838.4,496137.6,118,902.8,5
106,237283.2,493740.8,119,453.4,5
107,263648,493740.8,120,452.6,5
108,242076.8,498534.4,121,1362.4,5
109,309187.2,496137.6,122,452.6,5
110,282822.4,493740.8,123,907.4,5
111,234886.4,498534.4,124,1358.4,5
112,366710.4,493740.8,125,905.8,5
113,349932.8,493740.8,126,1815.8,5
114,359520,493740.8,127,1365,5
115,297203.2,500931.2,128,453.2,5
116,203728,496137.6,129,1808.2,5
117,285219.2,498534.4,130,906.6,5
118,294806.4,493740.8,131,453.8,5
119,275632,498534.4,132,1819.4,5
120,256457.6,491344,133,1362.2,5
121,297203.2,500931.2,134,908.4,5
122,266044.8,491344,135,454.8,5
123,220505.6,503328,136,1815.2,5
124,244473.6,493740.8,137,906,5
125,282822.4,498534.4,138,907.2,5
126,278028.8,496137.6,139,1361.6,5
127,316377.6,493740.8,140,454.8,5
128,369107.2,500931.2,141,1361,5
129,246870.4,491344,142,455.2,5
130,393075.2,496137.6,143,1815,5
131,263648,496137.6,144,907.6,5
132,299600,493740.8,145,906.4,5
133,321171.2,493740.8,146,1361.8,5
134,270838.4,493740.8,147,908.4,5
135,325964.8,500931.2,148,908.2,5
136,328361.6,493740.8,149,908.4,5
137,239680,500931.2,150,1364.2,5
138,227696,493740.8,152,907.8,5
139,256457.6,496137.6,154,1816.2,5
140,292409.6,498534.4,155,453.2,5
141,213315.2,493740.8,156,454,5
142,263648,498534.4,157,1826,5
143,218108.8,493740.8,158,1359.4,5
144,301996.8,493740.8,159,1353.2,5
145,352329.6,500931.2,160,905.4,5
146,266044.8,491344,161,453.4,5
147,270838.4,498534.4,162,1366.4,5
148,249267.2,496137.6,163,453.8,5
149,225299.2,498534.4,164,455.4,5
150,239680,493740.8,165,1365.8,5
151,220505.6,498534.4,166,1816.8,5
152,225299.2,493740.8,167,1358.4,5
153,251664,498534.4,168,453,5
154,234886.4,493740.8,169,910,5
155,321171.2,493740.8,170,1360,5
