"time1_size_g_fs","rec_serv_g_fs","env_car_g_fs","time2_delay_g_fs","delay_rtt_g_fs","ncars_g_fs"
1,527296,503328,1,6.49,1
2,503328,503328,2,0.429,1
3,491344,491344,3,1.26,1
4,503328,503328,4,0.465,1
5,491344,491344,6,0.471,1
6,503328,503328,7,0.321,1
7,491344,491344,8,0.349,1
8,491344,491344,9,2.64,1
9,503328,503328,10,0.388,1
10,503328,491344,11,0.297,1
11,491344,503328,12,1.31,1
12,503328,515312,13,2.46,1
13,124633.6,496137.6,14,0.9902,5
14,177363.2,498534.4,15,2.348,5
15,186950.4,496137.6,16,126.4,5
16,55126.4,493740.8,18,960.6,5
17,50332.8,496137.6,21,782.2,5
18,55126.4,498534.4,25,6425.8,5
19,52729.6,498534.4,29,2198.4,5
20,55126.4,493740.8,34,3190.6,5
21,52729.6,498534.4,35,9817.8,5
22,55126.4,496137.6,38,3897.8,5
23,50332.8,498534.4,44,19771.8,5
24,55126.4,496137.6,47,5531.6,5
25,52729.6,498534.4,50,6039.2,5
26,55126.4,493740.8,51,18176.4,5
27,52729.6,500931.2,52,6344.6,5
28,52729.6,496137.6,56,27539.4,5
29,52729.6,498534.4,58,6862.8,5
30,52729.6,493740.8,59,20185,5
31,55126.4,496137.6,60,13128.4,5
32,52729.6,496137.6,62,6247.4,5
33,52729.6,498534.4,64,5873.8,5
34,55126.4,496137.6,66,5597.6,5
35,55126.4,493740.8,67,5309.4,5
36,52729.6,503328,68,10326.6,5
37,52729.6,493740.8,74,4753.8,5
38,52729.6,498534.4,75,4770.8,5
39,55126.4,493740.8,76,4771.8,5
40,52729.6,498534.4,79,4765.4,5
41,55126.4,493740.8,80,4780.8,5
42,50332.8,493740.8,81,4778.6,5
43,55126.4,503328,82,4771.8,5
44,52729.6,493740.8,83,14310,5
45,55126.4,498534.4,85,4767.8,5
46,76697.6,493740.8,86,9520,5
47,98268.8,500931.2,87,4763.4,5
48,95872,493740.8,93,4796.2,5
49,98268.8,493740.8,98,4793.8,5
50,100665.6,503328,99,4792.4,5
51,98268.8,491344,101,4801.4,5
52,98268.8,500931.2,103,14394,5
53,98268.8,493740.8,109,4826.4,5
54,98268.8,496137.6,110,4823.4,5
55,95872,491344,111,9675.2,5
56,98268.8,493740.8,114,4839.2,5
57,95872,496137.6,115,9674.4,5
58,95872,493740.8,116,4827.2,5
59,98268.8,496137.6,117,9648.8,5
60,98268.8,496137.6,118,4816.2,5
61,98268.8,500931.2,119,4815.6,5
62,98268.8,496137.6,120,4810.2,5
63,95872,500931.2,123,9620.8,5
64,98268.8,491344,124,4804.8,5
65,98268.8,498534.4,127,9611.6,5
66,98268.8,493740.8,129,9619.8,5
67,95872,496137.6,130,9599.4,5
68,98268.8,498534.4,131,4791.8,5
69,98268.8,498534.4,132,4790.4,5
70,100665.6,496137.6,136,4794.4,5
71,98268.8,493740.8,143,4821.2,5
72,98268.8,493740.8,144,4820.2,5
73,95872,498534.4,145,4821,5
74,95872,498534.4,146,4818.6,5
75,100665.6,496137.6,148,9642.8,5
76,98268.8,503328,153,4829.6,5
77,98268.8,493740.8,154,4834.6,5
78,95872,496137.6,155,9676.6,5
79,98268.8,500931.2,157,4842.6,5
80,98268.8,491344,158,9677.2,5
81,98268.8,493740.8,164,14495,5
82,98268.8,500931.2,166,14459.6,5
83,98268.8,493740.8,167,14428.6,5
84,95872,496137.6,169,4802.2,5
85,98268.8,496137.6,171,9589.8,5
86,98268.8,496137.6,172,9601.304,5
87,98268.8,498534.4,173,4804.48,5
88,98268.8,493740.8,174,26.22,5
89,98268.8,498534.4,175,9580.2,5
90,98268.8,491344,177,5619,5
91,98268.8,498534.4,178,4777.4,5
92,95872,493740.8,179,14334.2,5
93,100665.6,496137.6,180,1663.8,5
94,95872,496137.6,182,9558.2,5
95,100665.6,493740.8,183,12030.8,5
96,98268.8,498534.4,184,4766.4,5
97,95872,493740.8,185,14291.6,5
98,98268.8,500931.2,186,8145.8,5
99,98268.8,496137.6,190,14004.8,5
100,95872,496137.6,193,4771,5
101,98268.8,498534.4,194,5622.2,5
102,98268.8,493740.8,195,9537.4,5
103,98268.8,500931.2,196,9541.8,5
104,98268.8,491344,197,3335,5
105,98268.8,496137.6,198,3368.6,5
106,98268.8,498534.4,200,4770.4,5
107,100665.6,496137.6,201,7803,5
108,95872,498534.4,202,4778.6,5
109,95872,496137.6,203,9569,5
