"time1_size_s_fn","rec_serv_s_fn","env_car_s_fn","time2_delay_s_fn","delay_rtt_s_fn","ncars_s_fn"
1,251664,497336,1,0.2575,2
2,251664,503328,2,0.1765,2
3,497336,497336,3,0.4685,2
4,497336,497336,4,0.6945,2
5,497336,497336,5,0.901,2
6,497336,497336,6,0.386,2
7,497336,497336,7,0.568,2
8,497336,497336,8,2.205,2
9,497336,497336,9,0.737,2
10,503328,497336,10,0.61,2
11,491344,497336,11,0.84,2
12,503328,491344,12,3.515,2
13,220505.6,498534.4,13,0.1722,5
14,301996.8,496137.6,14,2.562,5
15,318774.4,496137.6,15,0.2128,5
16,419440,493740.8,16,0.5074,5
17,491344,496137.6,17,0.8274,5
18,496137.6,498534.4,18,0.9658,5
19,493740.8,496137.6,19,0.4454,5
20,498534.4,498534.4,20,5.7912,5
21,496137.6,496137.6,21,0.7544,5
22,496137.6,496137.6,22,1.082,5
23,498534.4,496137.6,23,1.067,5
24,493740.8,498534.4,24,0.5584,5
25,498534.4,493740.8,25,0.8452,5
26,493740.8,500931.2,26,0.5776,5
27,493740.8,491344,27,0.9052,5
28,500931.2,498534.4,28,0.9282,5
29,493740.8,493740.8,29,1.2918,5
30,498534.4,500931.2,30,0.5658,5
31,496137.6,493740.8,31,0.7034,5
32,498534.4,498534.4,32,1.2944,5
33,493740.8,496137.6,33,0.5338,5
34,491344,493740.8,34,0.957,5
35,503328,498534.4,35,1.2976,5
36,491344,491344,36,1.0056,5
37,500931.2,498534.4,37,0.5718,5
38,491344,493740.8,38,0.5586,5
39,496137.6,493740.8,39,1.2638,5
40,493740.8,498534.4,40,1.8284,5
41,496137.6,493740.8,41,3.194,5
42,493740.8,496137.6,42,1.4104,5
43,498534.4,498534.4,43,0.9874,5
44,496137.6,496137.6,44,1.349,5
45,498534.4,498534.4,45,0.8908,5
46,493740.8,493740.8,46,0.7378,5
47,500931.2,498534.4,47,0.4804,5
48,491344,493740.8,48,0.8944,5
49,503328,498534.4,49,0.7908,5
50,491344,493740.8,50,1.351,5
51,493740.8,496137.6,51,1.2136,5
52,498534.4,500931.2,52,1.336,5
53,493740.8,493740.8,53,0.7372,5
54,500931.2,500931.2,54,2.0194,5
55,493740.8,493740.8,55,0.529,5
56,500931.2,498534.4,56,1.203,5
57,493740.8,496137.6,57,3.03,5
58,498534.4,493740.8,58,1.0864,5
59,496137.6,496137.6,59,1.5042,5
