"time1_size_s_fq","rec_serv_s_fq","env_car_s_fq","time2_delay_s_fq","delay_rtt_s_fq","ncars_s_fq"
1,503328,503328,1,0.49,1
2,503328,503328,2,0.364,1
3,491344,491344,3,4.74,1
4,503328,503328,4,0.878,1
5,491344,491344,5,0.437,1
6,503328,503328,6,0.98,1
7,491344,491344,7,0.291,1
8,503328,503328,8,0.944,1
9,491344,491344,9,0.32,1
10,503328,503328,10,0.329,1
11,491344,491344,11,0.352,1
12,503328,503328,12,0.552,1
13,122236.8,486550.4,13,0.0606,5
14,222902.4,498534.4,14,0.1856,5
15,323568,496137.6,15,0.2942,5
16,361916.8,496137.6,16,0.526,5
17,551264,493740.8,17,0.8308,5
18,491344,500931.2,18,0.792,5
19,500931.2,496137.6,19,0.8394,5
20,493740.8,498534.4,20,1.5706,5
21,496137.6,498534.4,21,1.0596,5
22,491344,496137.6,22,3.2468,5
23,503328,496137.6,23,7.2642,5
24,491344,496137.6,24,1.8366,5
25,498534.4,493740.8,25,0.8392,5
26,496137.6,500931.2,26,0.8848,5
27,491344,493740.8,27,0.874,5
28,503328,500931.2,28,0.7276,5
29,498534.4,496137.6,29,0.8304,5
30,496137.6,498534.4,30,3.0398,5
31,498534.4,491344,31,2.5932,5
32,491344,498534.4,32,1.7228,5
33,503328,498534.4,33,0.798,5
34,491344,493740.8,34,2.7316,5
35,498534.4,498534.4,35,1.4694,5
36,496137.6,498534.4,36,0.8692,5
37,498534.4,493740.8,37,0.7806,5
38,496137.6,496137.6,38,3.6036,5
39,493740.8,496137.6,39,0.764,5
40,496137.6,498534.4,40,1.203,5
41,500931.2,496137.6,41,0.6796,5
42,491344,498534.4,42,0.6398,5
43,500931.2,493740.8,43,1.1874,5
44,493740.8,498534.4,44,1.8462,5
45,498534.4,493740.8,45,0.861,5
46,496137.6,498534.4,46,1.1722,5
47,498534.4,496137.6,47,0.971,5
48,496137.6,496137.6,48,1.9764,5
49,493740.8,496137.6,49,1.4892,5
50,500931.2,496137.6,50,0.8898,5
51,493740.8,496137.6,51,0.9246,5
52,498534.4,498534.4,52,0.6714,5
53,496137.6,496137.6,53,0.357,5
54,491344,491344,54,1.1084,5
55,500931.2,498534.4,55,2.3906,5
56,491344,496137.6,56,0.5164,5
57,498534.4,498534.4,57,1.3632,5
58,496137.6,493740.8,58,1.8842,5
59,496137.6,498534.4,59,1.9076,5
60,498534.4,491344,60,1.544,5
61,496137.6,498534.4,61,1.444,5
62,491344,496137.6,62,0.6722,5
63,500931.2,493740.8,63,1.4212,5
64,493740.8,500931.2,64,1.5152,5
65,493740.8,498534.4,65,6.7698,5
66,500931.2,496137.6,66,3.5958,5
67,493740.8,493740.8,67,1.308,5
68,498534.4,491344,68,0.8724,5
69,493740.8,500931.2,69,0.742,5
70,491344,493740.8,70,1.34,5
71,498534.4,496137.6,71,1.2372,5
72,491344,498534.4,72,1.121,5
73,491344,493740.8,73,0.9774,5
74,503328,493740.8,74,0.954,5
75,500931.2,496137.6,75,0.6448,5
76,493740.8,493740.8,76,1.392,5
77,498534.4,493740.8,77,0.9612,5
78,496137.6,493740.8,78,0.6144,5
79,493740.8,496137.6,79,0.7446,5
80,491344,496137.6,80,0.7704,5
81,500931.2,493740.8,81,0.9152,5
82,491344,498534.4,82,0.878,5
83,498534.4,496137.6,83,0.737,5
84,496137.6,500931.2,84,0.7554,5
85,496137.6,491344,85,1.002,5
86,498534.4,500931.2,86,0.549,5
87,493740.8,491344,87,1.1696,5
88,500931.2,498534.4,88,0.5864,5
89,491344,496137.6,89,2.0038,5
90,491344,493740.8,90,0.5428,5
91,500931.2,496137.6,91,0.839,5
92,493740.8,498534.4,92,1.4672,5
93,500931.2,493740.8,93,1.241,5
94,491344,496137.6,94,0.7472,5
95,498534.4,498534.4,95,0.6876,5
96,496137.6,493740.8,96,3.4102,5
97,496137.6,498534.4,97,0.6932,5
98,496137.6,496137.6,98,0.5678,5
99,493740.8,493740.8,99,2.954,5
100,500931.2,493740.8,100,1.4184,5
101,493740.8,498534.4,101,2.313,5
102,496137.6,493740.8,102,1.6646,5
103,498534.4,498534.4,103,2.7688,5
104,496137.6,493740.8,104,2.0046,5
105,498534.4,498534.4,105,1.266,5
106,491344,496137.6,106,1.857,5
107,500931.2,493740.8,107,2.734,5
108,491344,500931.2,108,1.1206,5
109,500931.2,493740.8,109,1.072,5
110,493740.8,498534.4,110,0.9252,5
111,498534.4,496137.6,111,1.1296,5
112,493740.8,496137.6,112,1.2502,5
113,496137.6,500931.2,113,0.6626,5
114,498534.4,496137.6,114,1.0722,5
115,493740.8,498534.4,115,0.9652,5
116,500931.2,493740.8,116,1.5114,5
117,491344,496137.6,117,2.5062,5
118,503328,496137.6,118,0.9772,5
119,491344,498534.4,119,1.0346,5
120,496137.6,493740.8,120,1.3348,5
121,493740.8,493740.8,121,0.4204,5
122,498534.4,500931.2,122,2.0838,5
123,496137.6,493740.8,123,1.2588,5
124,500931.2,496137.6,124,0.5104,5
125,491344,496137.6,125,0.5704,5
126,493740.8,496137.6,126,1.3082,5
127,500931.2,493740.8,127,0.76,5
128,491344,498534.4,128,1.0732,5
129,503328,493740.8,129,0.5808,5
130,488947.2,498534.4,130,0.8564,5
131,500931.2,493740.8,131,0.787,5
132,493740.8,496137.6,132,1.1814,5
133,498534.4,493740.8,133,1.2284,5
134,493740.8,496137.6,134,0.7152,5
135,500931.2,498534.4,135,1.3248,5
136,491344,493740.8,136,0.9412,5
137,496137.6,500931.2,137,0.6412,5
138,498534.4,493740.8,138,3.6514,5
139,493740.8,493740.8,139,3.5476,5
140,498534.4,498534.4,140,1.2486,5
141,493740.8,496137.6,141,1.323,5
142,498534.4,498534.4,142,0.507,5
143,496137.6,493740.8,143,5.589,5
144,491344,496137.6,144,2.1944,5
145,500931.2,496137.6,145,2.559,5
146,493740.8,496137.6,146,1.3954,5
147,496137.6,498534.4,147,0.9072,5
148,498534.4,493740.8,148,1.1084,5
149,493740.8,493740.8,149,1.5582,5
150,496137.6,498534.4,150,1.2656,5
