"time1_size_s_fs","rec_serv_s_fs","env_car_s_fs","time2_delay_s_fs","delay_rtt_s_fs","ncars_s_fs"
1,515312,503328,1,5.02,1
2,491344,491344,2,0.38,1
3,491344,503328,3,0.434,1
4,503328,491344,5,1.09,1
5,503328,503328,6,0.517,1
6,491344,503328,7,0.381,1
7,503328,491344,8,1.68,1
8,491344,503328,9,0.375,1
9,503328,491344,10,2.48,1
10,491344,503328,11,0.286,1
11,503328,491344,12,0.437,1
12,491344,527296,13,0.935,1
13,124633.6,493740.8,14,0.614,5
14,222902.4,498534.4,15,0.577,5
15,273235.2,496137.6,16,2.9134,5
16,467376,500931.2,17,0.7276,5
17,491344,493740.8,18,0.7604,5
18,503328,498534.4,19,1.348,5
19,493740.8,493740.8,20,0.7968,5
20,498534.4,500931.2,21,0.6962,5
21,493740.8,491344,22,0.6956,5
22,493740.8,500931.2,23,1.49,5
23,498534.4,493740.8,24,1.3702,5
24,496137.6,498534.4,25,0.6874,5
25,496137.6,496137.6,26,3.0572,5
26,498534.4,496137.6,27,1.467,5
27,496137.6,496137.6,28,1.5832,5
28,496137.6,496137.6,29,1.2172,5
29,500931.2,496137.6,30,1.0222,5
30,493740.8,498534.4,31,0.847,5
31,498534.4,493740.8,32,1.3176,5
32,491344,498534.4,33,0.7964,5
33,500931.2,493740.8,34,3.1892,5
34,493740.8,498534.4,35,1.2226,5
35,498534.4,498534.4,36,0.7604,5
36,493740.8,496137.6,37,0.672,5
37,493740.8,496137.6,38,0.6098,5
38,503328,496137.6,39,0.9534,5
39,493740.8,496137.6,40,5.2308,5
40,496137.6,498534.4,41,0.4886,5
41,496137.6,493740.8,42,6.2808,5
42,498534.4,500931.2,43,0.8332,5
43,496137.6,496137.6,44,1.136,5
44,496137.6,493740.8,45,2.1742,5
45,500931.2,500931.2,46,0.8332,5
46,491344,493740.8,47,0.6416,5
47,500931.2,496137.6,48,0.7478,5
48,493740.8,496137.6,49,2.169,5
49,493740.8,498534.4,50,0.7934,5
50,493740.8,493740.8,51,0.7304,5
51,498534.4,500931.2,52,3.3876,5
52,496137.6,493740.8,53,2.2332,5
53,498534.4,498534.4,54,1.2756,5
54,493740.8,496137.6,55,0.8034,5
55,498534.4,493740.8,56,0.8816,5
56,493740.8,496137.6,57,1.1744,5
57,500931.2,491344,58,1.4122,5
58,491344,500931.2,59,0.813,5
